ntor	|An|^2	Re[An]	Im[An]	Ntor
-200	5.11631E-006	0.00207506	-0.000900235	-80
-199	4.31674E-006	0.00156061	-0.00137158	-79.6
-198	3.87104E-006	0.000954779	-0.0017203	-79.2
-197	3.80401E-006	0.000288251	-0.00192897	-78.8
-196	4.11513E-006	-0.000405078	-0.00198772	-78.4
-195	4.77834E-006	-0.00108996	-0.00189481	-78
-194	5.74374E-006	-0.00173178	-0.00165671	-77.6
-193	6.94093E-006	-0.00229844	-0.00128768	-77.2
-192	8.28389E-006	-0.00276214	-0.000809011	-76.8
-191	9.677E-006	-0.00310091	-0.000247706	-76.4
-190	1.10217E-005	-0.00329977	0.00036503	-76
-189	1.22236E-005	-0.00335148	0.000995597	-75.6
-188	1.31988E-005	-0.00325683	0.00160992	-75.2
-187	1.38797E-005	-0.00302449	0.00217535	-74.8
-186	1.42197E-005	-0.00267036	0.0026625	-74.4
-185	1.41962E-005	-0.00221655	0.00304682	-74
-184	1.38112E-005	-0.00168995	0.00330988	-73.6
-183	1.30913E-005	-0.00112062	0.00344027	-73.2
-182	1.20844E-005	-0.000539966	0.00343407	-72.8
-181	1.08563E-005	2.10809E-005	0.00329482	-72.4
-180	9.48492E-006	0.000533855	0.00303314	-72
-179	8.05424E-006	0.000973527	0.0026658	-71.6
-178	6.64788E-006	0.00132042	0.00221458	-71.2
-177	5.34282E-006	0.00156097	0.00170476	-70.8
-176	4.20391E-006	0.00168827	0.00116346	-70.4
-175	3.27944E-006	0.00170222	0.00061798	-70
-174	2.59825E-006	0.00160916	9.4083E-005	-69.6
-173	2.16855E-006	0.00142125	-0.000385481	-69.2
-172	1.97845E-006	0.00115535	-0.000802252	-68.8
-171	1.99828E-006	0.000831764	-0.001143	-68.4
-170	2.18426E-006	0.000472693	-0.00140029	-68
-169	2.48341E-006	0.000100724	-0.00157266	-67.6
-168	2.83913E-006	-0.000262717	-0.00166437	-67.2
-167	3.19696E-006	-0.000598755	-0.00168477	-66.8
-166	3.51008E-006	-0.00089223	-0.00164742	-66.4
-165	3.74397E-006	-0.00113256	-0.00156884	-66
-164	3.87992E-006	-0.00131428	-0.00146717	-65.6
-163	3.917E-006	-0.00143715	-0.00136073	-65.2
-162	3.87232E-006	-0.00150595	-0.00126667	-64.8
-161	3.77957E-006	-0.00152985	-0.00119964	-64.4
-160	3.68594E-006	-0.00152156	-0.00117081	-64
-159	3.6476E-006	-0.00149617	-0.00118704	-63.6
-158	3.72434E-006	-0.0014699	-0.0012505	-63.2
-157	3.97353E-006	-0.00145872	-0.00135856	-62.8
-156	4.44413E-006	-0.00147709	-0.0015041	-62.4
-155	5.17128E-006	-0.00153683	-0.00167614	-62
-154	6.17181E-006	-0.00164609	-0.0018607	-61.6
-153	7.4412E-006	-0.00180876	-0.00204196	-61.2
-152	8.95232E-006	-0.00202412	-0.00220346	-60.8
-151	1.0656E-005	-0.00228684	-0.00232945	-60.4
-150	1.24834E-005	-0.00258732	-0.00240606	-60
-149	1.43503E-005	-0.00291242	-0.00242242	-59.6
-148	1.61626E-005	-0.00324632	-0.0023715	-59.2
-147	1.7823E-005	-0.00357173	-0.00225071	-58.8
-146	1.92379E-005	-0.00387108	-0.00206218	-58.4
-145	2.03244E-005	-0.00412782	-0.00181259	-58
-144	2.10168E-005	-0.00432761	-0.00151282	-57.6
-143	2.12715E-005	-0.00445934	-0.00117718	-57.2
-142	2.10705E-005	-0.00451598	-0.000822455	-56.8
-141	2.04231E-005	-0.00449503	-0.000466695	-56.4
-140	1.93656E-005	-0.00439878	-0.000128008	-56
-139	1.79586E-005	-0.00423408	0.000176729	-55.6
-138	1.62827E-005	-0.00401188	0.000433038	-55.2
-137	1.44327E-005	-0.00374647	0.000629841	-54.8
-136	1.25107E-005	-0.00345438	0.000760206	-54.4
-135	1.06185E-005	-0.00315327	0.000821807	-54
-134	8.85052E-006	-0.00286059	0.000817028	-53.6
-133	7.28706E-006	-0.00259238	0.000752737	-53.2
-132	5.98872E-006	-0.00236209	0.000639721	-52.8
-131	4.99271E-006	-0.00217963	0.000491839	-52.4
-130	4.31095E-006	-0.0020507	0.000324937	-52
-129	3.93028E-006	-0.00197638	0.000155629	-51.6
-128	3.8147E-006	-0.00195312	-2.1684E-019	-51.2
-127	3.90941E-006	-0.0019731	-0.000127635	-50.8
-126	4.14639E-006	-0.00202479	-0.000215857	-50.4
-125	4.45088E-006	-0.00209399	-0.000257043	-50
-124	4.74833E-006	-0.00216491	-0.000247989	-49.6
-123	4.97113E-006	-0.00222148	-0.000190194	-49.2
-122	5.06456E-006	-0.00224867	-8.97789E-005	-48.8
-121	4.99152E-006	-0.00223376	4.29463E-005	-48.4
-120	4.73553E-006	-0.00216744	0.000194256	-48
-119	4.3018E-006	-0.00204466	0.000348061	-47.6
-118	3.71633E-006	-0.00186521	0.000487167	-47.2
-117	3.02305E-006	-0.00163384	0.000594653	-46.8
-116	2.27938E-006	-0.00136015	0.00065526	-46.4
-115	1.55055E-006	-0.00105797	0.000656694	-46
-114	9.03162E-007	-0.000744435	0.000590745	-45.6
-113	3.98783E-007	-0.000438817	0.000454118	-45.2
-112	8.79208E-008	-0.00016111	0.000248926	-44.8
-111	5.12183E-009	6.94667E-005	-1.72104E-005	-44.4
-110	1.65563E-007	0.00023597	-0.000331483	-44
-109	5.63491E-007	0.000325103	-0.000676609	-43.6
-108	1.17265E-006	0.000328374	-0.0010319	-43.2
-107	1.94865E-006	0.000242932	-0.00137464	-42.8
-106	2.83307E-006	7.20137E-005	-0.00168163	-42.4
-105	3.75892E-006	-0.000175032	-0.00193088	-42
-104	4.65682E-006	-0.000483181	-0.00210318	-41.6
-103	5.46148E-006	-0.000832598	-0.00218363	-41.2
-102	6.11767E-006	-0.00119988	-0.00216286	-40.8
-101	6.58512E-006	-0.00155962	-0.00203782	-40.4
-100	6.84187E-006	-0.00188613	-0.00181228	-40
-99	6.88571E-006	-0.00215534	-0.00149674	-39.6
-98	6.73344E-006	-0.00234652	-0.00110784	-39.2
-97	6.41816E-006	-0.00244392	-0.00066739	-38.8
-96	5.98464E-006	-0.00243809	-0.00020088	-38.4
-95	5.48356E-006	-0.00232674	0.00026428	-38
-94	4.96489E-006	-0.00211514	0.000700751	-37.6
-93	4.47152E-006	-0.00181601	0.00108334	-37.2
-92	4.03376E-006	-0.00144877	0.00139098	-36.8
-91	3.66559E-006	-0.00103835	0.00160855	-36.4
-90	3.36324E-006	-0.000613458	0.00172827	-36
-89	3.10673E-006	-0.000204558	0.00175068	-35.6
-88	2.86453E-006	0.000158464	0.00168506	-35.2
-87	2.60114E-006	0.00044867	0.00154914	-34.8
-86	2.28754E-006	0.000644375	0.00136833	-34.4
-85	1.91336E-006	0.000731209	0.00117418	-34
-84	1.50015E-006	0.000703772	0.00100242	-33.6
-83	1.11428E-006	0.000566755	0.000890544	-33.2
-82	8.78208E-007	0.00033541	0.000875047	-32.8
-81	9.78694E-007	3.53121E-005	0.000988659	-32.4
-80	1.67066E-006	-0.000298615	0.00125757	-32
-79	3.27557E-006	-0.000623782	0.00169896	-31.6
-78	6.1736E-006	-0.000892255	0.00231894	-31.2
-77	1.07892E-005	-0.0010536	0.00311114	-30.8
-76	1.75704E-005	-0.00105806	0.00405597	-30.4
-75	2.69618E-005	-0.000859953	0.00512077	-30
-74	3.93738E-005	-0.000420988	0.00626072	-29.6
-73	5.51485E-005	0.00028666	0.00742067	-29.2
-72	7.45252E-005	0.00127772	0.00853772	-28.8
-71	9.76068E-005	0.00255186	0.00954436	-28.4
-70	0.000124332	0.00409252	0.0103722	-28
-69	0.000154452	0.00586665	0.010956	-27.6
-68	0.000187519	0.00782544	0.0112375	-27.2
-67	0.000222882	0.00990602	0.0111693	-26.8
-66	0.000259699	0.012034	0.0107182	-26.4
-65	0.000296956	0.0141271	0.00986813	-26
-64	0.000333505	0.0160989	0.00862151	-25.6
-63	0.000368108	0.0178634	0.00700062	-25.2
-62	0.000399493	0.0193396	0.00504712	-24.8
-61	0.000426414	0.0204562	0.00282082	-24.4
-60	0.000447719	0.0211556	0.000397307	-24
